新聞,#genre#
新唐人亞太,http://4gtv.mumi.rip:9877/223/4gtv-live050/index.m3u8
MOMO TV,https://news2strm.myvideo.net.tw/bpk-tv/MOMOTV_OTT/HLS/index.m3u8
大立電視,http://www.dalitv.com.tw:4568/live/dali/index.m3u8
靖天日本,http://4gtv.mumi.rip:9877/22/4gtv-4gtv047/index.m3u8
i-Fun 動漫,http://4gtv.mumi.rip:9877/60/litv-ftv15/index.m3u8
tvN,https://news2strm.myvideo.net.tw/bpk-tv/tvN/HLS/index.m3u8
ROCK Entertainment,http://4gtv.mumi.rip:9877/275/4gtv-live080/index.m3u8
TechStorm,http://4gtv.mumi.rip:9877/181/4gtv-live109/index.m3u8
ARIRANG 阿里郎,http://4gtv.mumi.rip:9877/189/4gtv-4gtv079/index.m3u8
TVBS Asia,http://38.64.72.148/hls/modn/list/4005/playlist.m3u8
TVBS 綜藝,http://4gtv.mumi.rip:9877/284/4gtv-live087/index.m3u8
TVBS 歡樂,http://4gtv.mumi.rip:9877/184/4gtv-4gtv068/index.m3u8
八大精彩,http://4gtv.mumi.rip:9877/172/4gtv-4gtv034/index.m3u8
八大綜藝,http://4gtv.mumi.rip:9877/114/4gtv-4gtv039/index.m3u8
民視綜藝,http://4gtv.mumi.rip:9877/16/4gtv-4gtv004/index.m3u8
金光布袋戲,http://4gtv.mumi.rip:9877/236/4gtv-live144/index.m3u8
番薯,http://61.216.67.119:1935/TWHG/E1/chunklist_w7058102.m3u8
愛爾達娛樂,http://4gtv.mumi.rip:9877/19/4gtv-4gtv070/index.m3u8
霹靂布袋戲,http://4gtv.mumi.rip:9877/301/4gtv-live145/index.m3u8

知識,#genre#
LOVE NATURE,http://4gtv.mumi.rip:9877/139/4gtv-live208/index.m3u8
Global Trekker,http://4gtv.mumi.rip:9877/252/4gtv-live112/index.m3u8
History 歷史,http://4gtv.mumi.rip:9877/214/4gtv-live026/index.m3u8
CI 罪案偵查,http://4gtv.mumi.rip:9877/215/4gtv-live027/index.m3u8
Pet Club TV,http://4gtv.mumi.rip:9877/182/4gtv-live110/index.m3u8
LUXE TV,http://4gtv.mumi.rip:9877/175/4gtv-live121/index.m3u8
Lifetime,http://4gtv.mumi.rip:9877/217/4gtv-live029/index.m3u8
KLT-靖天國際,http://4gtv.mumi.rip:9877/84/4gtv-4gtv063/index.m3u8
幸福空間居家,http://4gtv.mumi.rip:9877/168/4gtv-live206/index.m3u8
rollor 滾動力,http://4gtv.mumi.rip:9877/249/4gtv-live012/index.m3u8
亞洲旅遊,http://4gtv.mumi.rip:9877/250/litv-longturn17/index.m3u8
TV5MONDE STYLE HD 生活時尚,http://4gtv.mumi.rip:9877/178/4gtv-live122/index.m3u8
Globetrotter 環遊旅行家,http://4gtv.mumi.rip:9877/288/4gtv-4gtv016/index.m3u8
民視旅遊,http://4gtv.mumi.rip:9877/61/litv-ftv07/index.m3u8
愛爾達生活旅遊,http://4gtv.mumi.rip:9877/237/4gtv-live120/index.m3u8

兒少,#genre#
CN 卡通,http://125.227.210.55:8167/VideoInput/play.ts
ELTV 生活英語,http://4gtv.mumi.rip:9877/106/litv-longturn20/index.m3u8
龍華卡通,http://4gtv.mumi.rip:9877/295/litv-longturn01/index.m3u8
尼克兒童,http://4gtv.mumi.rip:9877/185/4gtv-live105/index.m3u8
靖洋卡通Nice Bingo,http://4gtv.mumi.rip:9877/59/4gtv-4gtv057/index.m3u8
靖天卡通,http://4gtv.mumi.rip:9877/15/4gtv-4gtv044/index.m3u8
達文西,http://4gtv.mumi.rip:9877/11/4gtv-4gtv018/index.m3u8
Nick Jr. 兒童,http://4gtv.mumi.rip:9877/219/4gtv-live032/index.m3u8
DreamWorks 夢工廠動畫,http://4gtv.mumi.rip:9877/282/4gtv-live017/index.m3u8
LiveABC 互動英語,http://4gtv.mumi.rip:9877/188/4gtv-live030/index.m3u8
MOMO 親子,http://4gtv.mumi.rip:9877/231/4gtv-live107/index.m3u8

電影,#genre#
視納華仁紀實,http://4gtv.mumi.rip:9877/38/4gtv-4gtv013/index.m3u8
